Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Proj,Ownership,StDev,Team1,Team2,Opponent
TE,Rodney Williams II (30331350),Rodney Williams II,30331350,TE/FLEX,2500,PIT@LAR 10/22/2023 04:05PM ET,PIT,0,0,0,0,PIT,LAR,LAR
TE,Noah Gindorff (30331352),Noah Gindorff,30331352,TE/FLEX,2500,PIT@LAR 10/22/2023 04:05PM ET,PIT,0,0,0,0,PIT,LAR,LAR
TE,Brycen Hopkins (30331354),Brycen Hopkins,30331354,TE/FLEX,2500,PIT@LAR 10/22/2023 04:05PM ET,LAR,0.77,0.52,0.016666667,1.04,PIT,LAR,PIT
TE,Davis Allen (30331356),Davis Allen,30331356,TE/FLEX,2500,PIT@LAR 10/22/2023 04:05PM ET,LAR,0,0.146666667,0.01,0.47,PIT,LAR,PIT
TE,Hunter Long (30331358),Hunter Long,30331358,TE/FLEX,2500,PIT@LAR 10/22/2023 04:05PM ET,LAR,0,0,0,0,PIT,LAR,PIT
TE,Miller Forristall (30331360),Miller Forristall,30331360,TE/FLEX,2500,PIT@LAR 10/22/2023 04:05PM ET,LAR,0,0,0,0,PIT,LAR,PIT
TE,Nikola Kalinic (30331362),Nikola Kalinic,30331362,TE/FLEX,2500,PIT@LAR 10/22/2023 04:05PM ET,LAR,0,0,0,0,PIT,LAR,PIT
TE,Colby Parkinson (30331334),Colby Parkinson,30331334,TE/FLEX,2500,ARI@SEA 10/22/2023 04:05PM ET,SEA,3.86,4.126666667,0.416666667,7.695,ARI,SEA,ARI
TE,Brady Russell (30331336),Brady Russell,30331336,TE/FLEX,2500,ARI@SEA 10/22/2023 04:05PM ET,SEA,0,0,0,0,ARI,SEA,ARI
TE,Tyler Mabry (30331338),Tyler Mabry,30331338,TE/FLEX,2500,ARI@SEA 10/22/2023 04:05PM ET,SEA,0,0,0,0,ARI,SEA,ARI
TE,Geoff Swaim (30331340),Geoff Swaim,30331340,TE/FLEX,2500,ARI@SEA 10/22/2023 04:05PM ET,ARI,0.7,0.813333333,0.006666667,1.12,ARI,SEA,SEA
TE,Bernhard Seikovits (30331342),Bernhard Seikovits,30331342,TE/FLEX,2500,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0,0,0,ARI,SEA,SEA
TE,Blake Whiteheart (30331344),Blake Whiteheart,30331344,TE/FLEX,2500,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0,0,0,ARI,SEA,SEA
TE,Tucker Kraft (30331318),Tucker Kraft,30331318,TE/FLEX,2500,GB@DEN 10/22/2023 04:25PM ET,GB,0.5,1.12,0.013333333,2.045,GB,DEN,DEN
